Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Batch,Success,23,3,2018-02-09 14:30:56 +0530,2018-02-16 16:03:27 +0530,0:00:00
Connection,Success,5,1,2018-02-09 17:12:12 +0530,2018-02-09 17:16:45 +0530,0:00:00
